Rank,Title,Year,Rating
1,The Shawshank Redemption,19942h 22mR,9.3
2,The Godfather,19722h 55mR,9.2
3,The Dark Knight,20082h 32mPG-13,9.1
4,The Godfather Part II,19743h 22mR,9.0
5,12 Angry Men,19571h 36mApproved,9.0
6,The Lord of the Rings: The Return of the King,20033h 21mPG-13,9.0
7,Schindler's List,19933h 15mR,9.0
8,The Lord of the Rings: The Fellowship of the Ring,20012h 58mPG-13,8.9
9,Pulp Fiction,19942h 34mR,8.8
10,"The Good, the Bad and the Ugly",19662h 58mR,8.8
11,The Lord of the Rings: The Two Towers,20022h 59mPG-13,8.8
12,Forrest Gump,19942h 22mPG-13,8.8
13,Fight Club,19992h 19mR,8.8
14,Inception,20102h 28mPG-13,8.8
15,Star Wars: Episode V - The Empire Strikes Back,19802h 4mPG,8.7
16,The Matrix,19992h 16mR,8.7
17,Goodfellas,19902h 25mR,8.7
18,Interstellar,20142h 49mPG-13,8.7
19,One Flew Over the Cuckoo's Nest,19752h 13mR,8.6
20,Se7en,19952h 7mR,8.6
21,It's a Wonderful Life,19462h 10mPG,8.6
22,The Silence of the Lambs,19911h 58mR,8.6
23,Seven Samurai,19543h 27mNot Rated,8.6
24,Saving Private Ryan,19982h 49mR,8.6
25,The Green Mile,19993h 9mR,8.6
26,City of God,20022h 10mR,8.6
27,Life Is Beautiful,19971h 56mPG-13,8.6
28,Terminator 2: Judgment Day,19912h 17mR,8.6
29,Star Wars: Episode IV - A New Hope,19772h 1mPG,8.6
30,Back to the Future,19851h 56mPG,8.5
31,Spirited Away,20012h 4mPG,8.6
32,The Pianist,20022h 30mR,8.5
33,Gladiator,20002h 35mR,8.5
34,Parasite,20192h 12mR,8.5
35,Grave of the Fireflies,19881h 28mNot Rated,8.5
36,Psycho,19601h 49mR,8.5
37,The Lion King,19941h 28mG,8.5
38,Harakiri,19622h 13mNot Rated,8.6
39,The Departed,20062h 31mR,8.5
40,Whiplash,20141h 46mR,8.5
41,The Prestige,20062h 10mPG-13,8.5
42,American History X,19981h 59mR,8.5
43,Léon: The Professional,19941h 50mR,8.5
44,Spider-Man: Across the Spider-Verse,20232h 20mPG,8.5
45,Cinema Paradiso,19882h 54mPG,8.5
46,Casablanca,19421h 42mPG,8.5
47,The Intouchables,20111h 52mR,8.5
48,The Usual Suspects,19951h 46mR,8.5
49,Alien,19791h 57mR,8.5
50,Modern Times,19361h 27mG,8.5
51,Django Unchained,20122h 45mR,8.5
52,Rear Window,19541h 52mPG,8.5
53,Once Upon a Time in the West,19682h 46mPG-13,8.5
54,City Lights,19311h 27mG,8.5
55,Apocalypse Now,19792h 27mR,8.4
56,WALL·E,20081h 38mG,8.4
57,Memento,20001h 53mR,8.4
58,Dune: Part Two,20242h 46mPG-13,8.4
59,Raiders of the Lost Ark,19811h 55mPG,8.4
60,Avengers: Infinity War,20182h 29mPG-13,8.4
61,The Lives of Others,20062h 17mR,8.4
62,Spider-Man: Into the Spider-Verse,20181h 57mPG,8.4
63,Sunset Boulevard,19501h 50mApproved,8.4
64,Witness for the Prosecution,19571h 56mApproved,8.4
65,Paths of Glory,19571h 28mApproved,8.4
66,The Shining,19802h 26mR,8.4
67,The Great Dictator,19402h 5mG,8.4
68,Inglourious Basterds,20092h 33mR,8.4
69,12th Fail,20232h 27m,8.7
70,Aliens,19862h 17mR,8.4
71,High and Low,19632h 23mNot Rated,8.4
72,The Dark Knight Rises,20122h 44mPG-13,8.4
73,Coco,20171h 45mPG,8.4
74,Avengers: Endgame,20193h 1mPG-13,8.4
75,Good Will Hunting,19972h 6mR,8.3
76,Amadeus,19842h 40mPG,8.4
77,Toy Story,19951h 21mG,8.3
78,Your Name.,20161h 46m,8.4
79,Das Boot,19812h 29m,8.4
80,Oldboy,20032hR,8.3
